Duolingo_Category	Simplified Chinese	Traditional Chinese	Pinyin	English Definition
Nation	对	對	duì	right / correct / couple / pair / towards / at / for / to face / opposite / to treat (sb a certain way) / to match together / to adjust / to fit / to suit / to answer / to reply / classifier: couple
Nation	加拿大		Jiā ná dà	Canada / Canadian
Nation	加		Jiā   jiā	abbr. for Canada 加拿大 / surname Jia  to add / plus / (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned) / to apply (restrictions etc) to (sb) / to give (support, consideration etc) to (sth)
Nation	拿		ná	to hold / to seize / to catch / to apprehend / to take / (used in the same way as 把: to mark the following noun as a direct object)
Nation	大		dà   dài	big / huge / large / major / great / wide / deep / older (than) / oldest / eldest / greatly / very much / (dialect) father / father's elder or younger brother  see 大夫
Greeting 3	忙		máng	busy / hurriedly / to hurry / to rush
Greeting 3	早上		zǎo shang	early morning / CL: 個｜个
Greeting 3	早		zǎo	early / morning / Good morning! / long ago / prematurely
Greeting 3	上		shǎng   shàng	see 上聲｜上声  on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university)
Greeting 3	怎么样	怎麼樣	zěn me yàng	how? / how about? / how was it? / how are things?
Greeting 3	今天		jīn tiān	today / at the present / now
Greeting 3	怎		zěn	how
Greeting 3	样	樣	yàng	manner / pattern / way / appearance / shape / classifier: kind, type
Greeting 3	今		jīn	today / modern / present / current / this / now
Greeting 3	天		tiān	day / sky / heaven
Location 1	家	傢	jiā   Jiā   jiā	see 傢伙｜家伙  surname Jia  home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian / CL: 個｜个
Location 1	北京		Běi jīng	Beijing, capital of People's Republic of China / Peking / PRC government
Location 1	在		zài	(located) at / (to be) in / to exist / in the middle of doing sth / (indicating an action in progress)
Location 1	北		běi	north / to be defeated (classical)
Location 1	京		Jīng   jīng	abbr. for Beijing / surname Jing / Jing ethnic minority  capital city of a country / big / algebraic term for a large number (old) / artificial mound (old)
Location 1	哪儿	哪兒	nǎr	where? / wherever / anywhere
Location 1	纽约	紐約	Niǔ yuē	New York
Location 1	香港		Xiāng gǎng	Hong Kong
Location 1	儿	兒	ér   r	child / son  non-syllabic diminutive suffix / retroflex final
Location 1	纽	紐	niǔ	to turn / to wrench / button / nu (Greek letter Νν)
Location 1	约	約	yāo   yuē	to weigh in a balance or on a scale  to make an appointment / to invite / approximately / pact / treaty / to economize / to restrict / to reduce (a fraction) / concise
Location 1	香		xiāng	fragrant / sweet smelling / aromatic / savory or appetizing / (to eat) with relish / (of sleep) sound / perfume or spice / joss or incense stick / CL: 根
Location 1	港		Gǎng   gǎng	Hong Kong, abbr. for 香港 / surname Gang  harbor / port / CL: 個｜个
Location 1	住		zhù	to live / to dwell / to stay / to reside / to stop / (suffix indicating firmness, steadiness, or coming to a halt)
Location 1	伦敦	倫敦	Lún dūn	London, capital of United Kingdom
Location 1	台湾	臺灣	Tái wān	Taiwan
Location 1	伦	倫	lún	human relationship / order / coherence
Location 1	敦		dūn	kindhearted / place name
Location 1	台		Tái   tái   tái   Tái   tái   tái	Taiwan (abbr.) / surname Tai  (classical) you (in letters) / variant of 臺｜台  desk / table / counter  Taiwan (abbr.)  platform / stage / terrace / stand / support / station / broadcasting station / classifier for vehicles or machines  typhoon
Location 1	湾	灣	wān	bay / gulf / to cast anchor / to moor (a boat)
Phrases 1	谢谢	謝謝	xiè xie	to thank / thanks / thank you
Phrases 1	不客气	不客氣	bù kè qi	you're welcome / don't mention it / impolite / rude / blunt
Phrases 1	谢	謝	Xiè   xiè	surname Xie  to thank / to apologize / to wither (of flowers, leaves etc) / to decline
Phrases 1	客		kè	customer / visitor / guest
Phrases 1	气	氣	qì	gas / air / smell / weather / to make angry / to annoy / to get angry / vital energy / qi
Phrases 1	对不起	對不起	duì bu qǐ	unworthy / to let down / I'm sorry / excuse me / pardon me / if you please / sorry? (please repeat)
Phrases 1	没关系	沒關係	méi guān xi	it doesn't matter
Phrases 1	起		qǐ	to rise / to raise / to get up / to set out / to start / to appear / to launch / to initiate (action) / to draft / to establish / to get (from a depot or counter) / verb suffix, to start / starting from (a time, place, price etc) / classifier for occurrences or unpredictable events: case, instance / classifier for groups: batch, group
Phrases 1	没	沒	méi   mò	(negative prefix for verbs) / have not / not  drowned / to end / to die / to inundate
Phrases 1	关	關	Guān   guān	surname Guan  mountain pass / to close / to shut / to turn off / to concern / to involve
Phrases 1	系	係	xì   xì   jì   xì	to connect / to relate to / to tie up / to bind / to be (literary)  system / department / faculty  to tie / to fasten / to button up  to connect / to arrest / to worry
Family 1	爸爸		bà ba	(informal) father / CL: 個｜个, 位
Family 1	妈妈	媽媽	mā ma	mama / mommy / mother / CL: 個｜个, 位
Family 1	爱	愛	ài	to love / to be fond of / to like / affection / to be inclined (to do sth) / to tend to (happen)
Family 1	家人		jiā rén	household / (one's) family
Family 1	爸		bà	father / dad / pa / papa
Family 1	妈	媽	mā	ma / mom / mother
Family 1	谁	誰	shéi	who / also pr. [shui2]
Family 1	那		Nā   Nuó   nà   nuó	surname Na  surname Nuo  that / those / then (in that case) / commonly pr. [nei4] before a classifier, esp. in Beijing  (archaic) many / beautiful / how / old variant of 挪
Family 1	个	個	gè	individual / this / that / size / classifier for people or objects in general
Family 1	这	這	zhè	this / these / (commonly pr. [zhei4] before a classifier, esp. in Beijing)
Family 1	哥哥		gē ge	older brother / CL: 個｜个, 位
Family 1	姐姐		jiě jie	older sister / CL: 個｜个
Family 1	有		yǒu	to have / there is / there are / to exist / to be
Family 1	哥		gē	elder brother
Family 1	姐		jiě	older sister
Family 1	弟弟		dì di	younger brother / CL: 個｜个, 位
Family 1	和		Hé   hé   hè   hú   huó   huò	surname He / Japanese (food, clothes etc)  and / together with / with / sum / union / peace / harmony / Taiwan pr. [han4] when it means 'and' or 'with'  to compose a poem in reply (to sb's poem) using the same rhyme sequence / to join in the singing / to chime in with others  to complete a set in mahjong or playing cards  to combine a powdery substance (flour, plaster etc) with water / Taiwan pr. [huo4]  to mix (ingredients) together / to blend / classifier for rinses of clothes / classifier for boilings of medicinal herbs
Family 1	妹妹		mèi mei	younger sister / young woman / CL: 個｜个
Family 1	没	沒	méi   mò	(negative prefix for verbs) / have not / not  drowned / to end / to die / to inundate
Family 1	弟		dì	younger brother / junior male / I (modest word in letter)
Family 1	妹		mèi	younger sister
Phrases 2	请问	請問	qǐng wèn	Excuse me, may I ask...?
Phrases 2	知道		zhī dào	to know / to become aware of / also pr. [zhi1 dao5]
Phrases 2	问	問	wèn	to ask
Phrases 2	请	請	qǐng	to ask / to invite / please (do sth) / to treat (to a meal etc) / to request
Phrases 2	知		zhī	to know / to be aware
Phrases 2	道		dào	road / path / CL: 條｜条, 股 / principle / truth / morality / reason / skill / method / Dao (of Daoism) / to say / to speak / to talk / classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process / (old) administrative division (similar to province in Tang times)
Phrases 2	说	說	shuì   shuō	to persuade  to speak / to say / to explain / to scold / to tell off / a theory (typically the last character in a compound, as in 日心說｜日心说 heliocentric theory)
Phrases 2	英语	英語	Yīng yǔ	English (language)
Phrases 2	汉语	漢語	Hàn yǔ	Chinese language / CL: 門｜门
Phrases 2	汉	漢	Hàn   hàn	Han ethnic group / Chinese (language) / the Han dynasty (206 BC-220 AD)  man
Phrases 2	语	語	yǔ   yù	dialect / language / speech  to tell to
Phrases 2	帮助	幫助	bāng zhù	assistance / aid / to help / to assist
Phrases 2	再		zài	again / once more / re- / second / another / then (after sth, and not until then)
Phrases 2	请	請	qǐng	to ask / to invite / please (do sth) / to treat (to a meal etc) / to request
Phrases 2	次		cì	next in sequence / second / the second (day, time etc) / secondary / vice- / sub- / infra- / inferior quality / substandard / order / sequence / hypo- (chemistry) / classifier for enumerated events: time
Phrases 2	帮	幫	bāng	to help / to assist / to support / for sb (i.e. as a help) / hired (as worker) / side (of pail, boat etc) / outer layer / upper (of a shoe) / group / gang / clique / party / secret society
Phrases 2	助		zhù	to help / to assist
Greeting 4	早安		zǎo ān	Good morning!
Greeting 4	晚安		wǎn ān	Good night! / Good evening!
Greeting 4	一会儿	一會兒	yī huìr	a moment / a while / in a moment / now...now... / also pr. [yi1 hui3 r5]
Greeting 4	见	見	jiàn   xiàn	to see / to meet / to appear (to be sth) / to interview  to appear / also written 現｜现
Greeting 4	会	會	huì   kuài	can / to be possible / to be able to / will / to be likely to / to be sure to / to assemble / to meet / to gather / to see / union / group / association / CL: 個｜个 / a moment (Taiwan pr. for this sense is [hui3])  to balance an account / accountancy / accounting
Greeting 4	安		Ān   ān	surname An  content / calm / still / quiet / safe / secure / in good health / to find a place for / to install / to fix / to fit / to bring (a charge against sb) / to pacify / to harbor (good intentions) / security / safety / peace / ampere
Greeting 4	最近		zuì jìn	recent / recently / these days / latest / soon / nearest (of locations) / shortest (of routes)
Greeting 4	好久不见	好久不見	hǎo jiǔ bu jiàn	long time no see
Greeting 4	不错	不錯	bù cuò	correct / right / not bad / pretty good
Greeting 4	最		zuì	most / the most / -est (superlative suffix)
Greeting 4	近		jìn	near / close to / approximately
Greeting 4	久		jiǔ	(long) time / (long) duration of time
Greeting 4	错	錯	Cuò   cuò	surname Cuo  mistake / wrong / bad / interlocking / complex / to grind / to polish / to alternate / to stagger / to miss / to let slip / to evade / to inlay with gold or silver
Drink	要		yāo   yào	to demand / to request / to coerce  important / vital / to want / to ask for / will / going to (as future auxiliary) / may / must / (used in a comparison) must be / probably / if
Drink	热	熱	rè	to warm up / to heat up / hot (of weather) / heat / fervent
Drink	冰		bīng	ice / CL: 塊｜块 / to chill sth / (of an object or substance) to feel cold / (of a person) cold / unfriendly / (slang) methamphetamine
Drink	牛奶		niú nǎi	cow's milk / CL: 瓶, 杯
Drink	咖啡		kā fēi	coffee (loanword) / CL: 杯
Drink	牛		Niú   niú	surname Niu  ox / cow / bull / CL: 條｜条, 頭｜头 / (slang) awesome
Drink	奶		nǎi   nǎi	breast / milk / to breastfeed  mother / variant of 奶
Drink	咖		kā	coffee / class / grade
Drink	啡		fēi	(phonetic component)
Location 2	洗手间	洗手間	xǐ shǒu jiān	toilet / lavatory / washroom
Location 2	医院	醫院	yī yuàn	hospital / CL: 所, 家, 座
Location 2	洗		xǐ	to wash / to bathe / to develop (photo)
Location 2	手		shǒu	hand / (formal) to hold / person engaged in certain types of work / person skilled in certain types of work / personal(ly) / convenient / classifier for skill / CL: 雙｜双, 隻｜只
Location 2	间	間	jiān   jiàn	between / among / within a definite time or space / room / section of a room or lateral space between two pairs of pillars / classifier for rooms  gap / to separate / to thin out (seedlings) / to sow discontent
Location 2	院		yuàn	courtyard / institution / CL: 個｜个
Location 2	这儿	這兒	zhèr	here
Location 2	那儿	那兒	nàr	there
Location 2	饭馆	飯館	fàn guǎn	restaurant / CL: 家
Location 2	馆	館	guǎn	building / shop / term for certain service establishments / embassy or consulate / schoolroom (old) / CL: 家
Time 1	年		Nián   nián   nián	surname Nian  year / CL: 個｜个  grain / harvest (old) / variant of 年
Time 1	月		yuè	moon / month / monthly / CL: 個｜个, 輪｜轮
Time 1	号	號	háo   hào	roar / cry / CL: 個｜个  ordinal number / day of a month / mark / sign / business establishment / size / ship suffix / horn (wind instrument) / bugle call / assumed name / to take a pulse / classifier used to indicate number of people
Time 1	几		jī   jī   jǐ	small table  almost  how much / how many / several / a few
Time 1	〇		líng	zero
Time 1	星期		xīng qī	week / CL: 個｜个 / day of the week / Sunday
Time 1	明天		míng tiān	tomorrow
Time 1	天		tiān	day / sky / heaven
Time 1	日		Rì   rì	abbr. for 日本, Japan  sun / day / date, day of the month
Time 1	星		xīng	star / heavenly body / satellite / small amount
Time 1	期		qī	a period of time / phase / stage / classifier for issues of a periodical, courses of study / time / term / period / to hope / Taiwan pr. [qi2]
Time 1	明		Míng   míng	Ming Dynasty (1368-1644) / surname Ming / Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝 descended from Shennong 神農｜神农 Farmer God  bright / opposite: dark 暗 / (of meaning) clear / to understand / next / public or open / wise / generic term for a sacrifice to the gods
Time 1	点	點	diǎn	point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更 / dot stroke in Chinese characters / classifier for items
Time 1	现在	現在	xiàn zài	now / at present / at the moment / modern / current / nowadays
Time 1	半		bàn	half / semi- / incomplete / (after a number) and a half
Time 1	现	現	xiàn	to appear / present / now / existing / current
Family 2	孩子		hái zi	child
Family 2	两	兩	liǎng	two / both / some / a few / tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)
Family 2	孩		hái	child
